Year;Gross Savings
1970;21.54
1971;21.51
1972;22.08
1973;23.68
1974;22.57
1975;20.92
1976;21.51
1977;22.2
1978;23.45
1979;23.64
1980;22.28
1981;23.39
1982;21.61
1983;19.9
1984;21.94
1985;20.5
1986;19.22
1987;19.72
1988;20.55
1989;19.9
1990;18.95
1991;19.0
1992;17.91
1993;17.36
1994;18.14
1995;18.91
1996;19.7
1997;20.8
1998;21.21
1999;20.79
2000;20.53
2001;19.33
2002;18.14
2003;17.27
2004;17.55
2005;17.91
2006;18.82
2007;17.29
2008;15.07
2009;13.87
2010;15.17
2011;16.0
2012;18.13
2013;18.64
2014;19.64
2015;19.75
2016;18.67
2017;19.19
2018;19.34
2019;19.45
2020;19.04
2021;17.87
