artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Gigi D'Agostino,L'Amour Toujours,238759,0,2011,1,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,0,0,0,0,0,0,0,0,0,1,0,0,2023-10-11,931995,Wednesday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Chicane,Don't Give Up,210786,0,2016,47,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,1,0,0,0,0,0,0,0,0,0,0,0,2017-02-07,173061,Tuesday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Samantha Mumba,Gotta Tell You,201946,0,2018,43,0.729,0.632,0,-8.75,0,0.0279,0.191,0.0,0.166,0.774,109.981,0,0,0,0,0,0,0,0,0,1,0,0,2000-06-02,183822,Friday,no,2.442583297,3.896,63201,19.34,2.91,81.3
DJ Ötzi,Hey Baby (Radio Mix),219240,0,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0.0,0.347,0.834,135.099,0,0,0,0,0,0,0,0,0,1,0,0,2010-04-25,390555,Sunday,no,1.640043442,9.633,48651,15.17,4.31,84.86
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,0,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0.0,0.103,0.373,117.338,0,0,0,0,0,0,0,0,0,1,0,0,2024-06-14,10338859,Friday,no,3.156841569,8.949,50066,16.0,2.05,84.68
Faithless,We Come 1 - Radio Edit,222435,0,2015,53,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,0,0,0,0,0,0,0,0,0,1,0,0,2005-08-30,677873,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Usher,Pop Ya Collar - Radio Edit,210813,0,2016,26,0.888,0.8,5,-3.944,0,0.0946,0.0901,2.12e-05,0.229,0.866,106.957,0,0,0,0,0,0,1,0,0,0,0,0,2021-08-12,12036479,Thursday,no,1.261583206,4.869,58207,18.67,1.06,81.79
DB Boulevard,Point Of View - Radio Edit,231166,0,2018,0,0.676,0.715,6,-6.854,1,0.0287,0.00284,0.0746,0.0685,0.275,129.006,1,0,0,0,0,0,0,0,0,0,0,0,2018-01-01,9914,Monday,no,2.442583297,3.896,63201,19.34,2.91,81.3
K-Ci & JoJo,Crazy,262773,0,2019,30,0.68,0.644,0,-4.507,1,0.0258,0.084,0.0,0.549,0.484,116.097,0,0,0,0,0,0,0,0,0,1,0,0,2024-08-30,1730125,Friday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),244466,0,2019,40,0.583,0.643,9,-7.486,0,0.355,0.171,0.0,0.0395,0.7,195.685,0,0,0,0,0,0,0,0,0,1,0,0,2002-09-15,20841,Sunday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Aaliyah,Rock The Boat,275026,0,2019,0,0.641,0.72,5,-5.209,1,0.0336,0.0688,0.00286,0.193,0.418,92.988,0,0,0,0,0,0,1,0,0,0,0,0,1973-01-01,4439382,Monday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Scooter,The Logical Song,234116,0,2013,46,0.527,0.933,6,-6.277,0,0.0382,0.00112,0.0362,0.425,0.493,144.043,0,0,0,0,0,0,0,0,0,1,0,0,1979-03-29,867019,Thursday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Scooter,Nessaja,208449,0,2013,47,0.486,0.904,2,-6.642,1,0.0364,0.000748,0.0984,0.187,0.118,143.048,0,0,0,0,0,0,0,0,0,1,0,0,2002-05-13,867019,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Khia,"My Neck, My Back (Lick It)",222560,1,2015,59,0.859,0.625,9,-4.234,0,0.13,0.0296,0.0,0.0537,0.71,102.072,0,0,0,0,0,0,0,0,0,1,0,0,2015-05-05,236982,Tuesday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Liberty X,Just A Little,237359,0,2019,43,0.786,0.614,5,-6.554,0,0.0574,0.00616,0.0,0.049,0.742,103.887,0,0,0,0,0,0,0,0,0,1,0,0,2021-10-15,146116,Friday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Creed,One Last Breath - Radio Version,242000,0,2015,47,0.38,0.725,2,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,0,0,0,0,0,0,0,0,0,1,0,0,2015-01-01,3470334,Thursday,no,0.118627136,5.28,57040,19.75,3.54,81.45
Blazin' Squad,Crossroads - Radio Edit,188693,0,2012,40,0.661,0.746,4,-5.153,1,0.042,0.109,0.0,0.325,0.502,144.188,0,0,0,0,0,0,0,0,0,0,0,1,2019-03-22,26199,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
Lil' Kim,Magic Stick,359973,1,2019,47,0.849,0.498,2,-7.872,1,0.272,0.116,4.49e-05,0.268,0.502,92.98,0,0,0,0,0,0,1,0,0,0,0,0,2003-03-03,1760264,Monday,no,1.812210075,3.669,65548,19.45,2.26,81.0
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,0,2016,52,0.527,0.808,1,-4.749,1,0.295,0.176,0.0,0.169,0.907,87.025,0,0,0,0,0,0,1,0,0,0,0,0,2016-08-12,2988330,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,0,2016,66,0.833,0.515,11,-5.0,0,0.0462,0.347,0.00156,0.116,0.4,97.007,0,0,0,0,0,0,0,0,0,1,0,0,2016-08-12,63849,Friday,no,1.261583206,4.869,58207,18.67,1.06,81.79
3 Doors Down,Let Me Go,243053,0,2012,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,0,0,0,0,0,0,0,0,0,1,0,0,2017-09-08,4436992,Friday,no,2.069337265,8.069,51784,18.13,3.85,83.44
